,total_value
2016-09-20,1362265.883
2016-09-21,1362265.883
2016-09-22,1362265.883
2016-09-23,1362265.883
2016-09-26,1362265.883
2016-09-27,1362265.883
2016-09-28,1362265.883
2016-09-29,1362265.883
2016-09-30,1362265.883
2016-10-10,1362265.883
2016-10-11,1362265.883
2016-10-12,1362265.883
2016-10-13,1362265.883
2016-10-14,1362265.883
2016-10-17,1362265.883
2016-10-18,1362265.883
2016-10-19,1362265.883
2016-10-20,1362265.883
2016-10-21,1362265.883
2016-10-24,1362265.883
2016-10-25,1362265.883
2016-10-26,1362265.883
2016-10-27,1362265.883
2016-10-28,1362265.883
2016-10-31,1362265.883
2016-11-01,1362265.883
2016-11-02,1362265.883
2016-11-03,1362265.883
2016-11-04,1362265.883
2016-11-07,1362265.883
2016-11-08,1362265.883
2016-11-09,1362265.883
2016-11-10,1362265.883
2016-11-11,1362265.883
2016-11-14,1362265.883
2016-11-15,1362265.883
2016-11-16,1362265.883
2016-11-17,1362265.883
2016-11-18,1362265.883
2016-11-21,1362265.883
2016-11-22,1362265.883
2016-11-23,1362265.883
2016-11-24,1362265.883
2016-11-25,1362265.883
2016-11-28,1362265.883
2016-11-29,1362265.883
2016-11-30,1362265.883
2016-12-01,1362265.883
2016-12-02,1362265.883
2016-12-05,1362265.883
2016-12-06,1362265.883
2016-12-07,1362265.883
2016-12-08,1362265.883
2016-12-09,1362265.883
2016-12-12,1362265.883
2016-12-13,1362265.883
2016-12-14,1362265.883
2016-12-15,1362265.883
2016-12-16,1362265.883
2016-12-19,1362265.883
2016-12-20,1362265.883
2016-12-21,1362265.883
2016-12-22,1362265.883
2016-12-23,1362265.883
2016-12-26,1362265.883
2016-12-27,1362265.883
2016-12-28,1362265.883
2016-12-29,1362265.883
2016-12-30,1362265.883
2017-01-03,1362265.883
2017-01-04,1362265.883
2017-01-05,1362265.883
2017-01-06,1362265.883
2017-01-09,1362265.883
2017-01-10,1362265.883
2017-01-11,1362265.883
2017-01-12,1362265.883
2017-01-13,1362265.883
2017-01-16,1362265.883
2017-01-17,1362265.883
2017-01-18,1362265.883
2017-01-19,1362265.883
2017-01-20,1362265.883
2017-01-23,1362265.883
2017-01-24,1362265.883
2017-01-25,1362265.883
2017-01-26,1362265.883
2017-02-03,1362265.883
2017-02-06,1362265.883
2017-02-07,1362265.883
2017-02-08,1362265.883
2017-02-09,1362265.883
2017-02-10,1366468.679
2017-02-13,1374524.679
2017-02-14,1374960.679
2017-02-15,1372984.679
2017-02-16,1379636.679
2017-02-17,1368620.679
2017-02-20,1383772.679
2017-02-21,1389120.679
2017-02-22,1392276.679
2017-02-23,1388340.679
2017-02-24,1389160.679
2017-02-27,1379252.679
2017-02-28,1384480.679
2017-03-01,1386560.679
2017-03-02,1379800.679
2017-03-03,1375112.679
2017-03-06,1381336.679
2017-03-07,1384752.679
2017-03-08,1384052.679
2017-03-09,1374488.679
2017-03-10,1372892.679
2017-03-13,1382596.679
2017-03-14,1383520.679
2017-03-15,1384492.679
2017-03-16,1395364.679
2017-03-17,1382768.679
2017-03-20,1388112.679
2017-03-21,1392432.679
2017-03-22,1385876.679
2017-03-23,1387208.679
2017-03-24,1395568.679
2017-03-27,1394572.679
2017-03-28,1388968.679
2017-03-29,1384312.679
2017-03-30,1371884.679
2017-03-31,1376792.679
2017-04-05,1395912.679
2017-04-06,1400188.679
2017-04-07,1402436.679
2017-04-10,1395544.679
2017-04-11,1403376.679
2017-04-12,1397320.679
2017-04-13,1398172.679
2017-04-14,1386216.679
2017-04-17,1376656.679
2017-04-18,1366472.679
2017-04-19,1356064.679
2017-04-20,1352790.411
2017-04-21,1352790.411
2017-04-24,1352790.411
2017-04-25,1352790.411
2017-04-26,1352790.411
2017-04-27,1352790.411
2017-04-28,1352790.411
2017-05-02,1352790.411
2017-05-03,1352790.411
2017-05-04,1352790.411
2017-05-05,1352790.411
2017-05-08,1352790.411
2017-05-09,1352790.411
2017-05-10,1352790.411
2017-05-11,1352790.411
2017-05-12,1352790.411
2017-05-15,1352790.411
2017-05-16,1352790.411
2017-05-17,1352790.411
